commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl,questions,constructive-feedback,sentiment-positive-video,sentiment-negative-video,off-topic,worth-noting
UgxeJ_E_XVbduqMxaDt4AaABAg,0,48Gxwmofaho,Mind blowing. Making animators' life easier ; you are pipeline angels :),2019-07-30T21:35:30Z,Aline Schleger,https://yt3.ggpht.com/ytc/AKedOLRGS9taZn_3gUHgFSlU4Zz1HGuRScNAPJz_FAuaDQ=s48-c-k-c0x00ffffff-no-rj,,,1,,,
Ugzkh8JfVf-LR43SG614AaABAg,0,48Gxwmofaho,"Love the content, but the presentation seemed very 'dry'",2019-06-09T20:46:53Z,Marceli Wac,https://yt3.ggpht.com/ytc/AKedOLSp4sQ-RHHOoBwNb8MVziDjm3BhUs2w57OnjZdvNhM=s48-c-k-c0x00ffffff-no-rj,,,1,1,,
UgwHRrIiI_sfpNpMv754AaABAg,0,48Gxwmofaho,Why didn't they just use a motion capture suit on a real skeleton?,2019-06-08T06:57:45Z,SpaghettiToaster,https://yt3.ggpht.com/ytc/AKedOLSE7Htzts56gP17ATtrP1EkvBYg5hVLddqNtA=s48-c-k-c0x00ffffff-no-rj,1,,,,,
UgwHRrIiI_sfpNpMv754AaABAg.8vudE7oZua591wZdHRnx6x,UgwHRrIiI_sfpNpMv754AaABAg,48Gxwmofaho,@SpaghettiToaster Fuck r/woosh,2019-11-30T00:35:52Z,BMHater12,https://yt3.ggpht.com/R5dAT_WqpqkwSJurQooWPqOzBFxyxuWtk4Ec2KxOg-LDyAlMbNRFUQxFe8hq5WHQ54gwqvNF9g=s48-c-k-c0x00ffffff-no-rj,,,,1,,
UgwHRrIiI_sfpNpMv754AaABAg.8vudE7oZua58yDGnkF4MAW,UgwHRrIiI_sfpNpMv754AaABAg,48Gxwmofaho,@ShyPoke Are there literally only wooshers in this comments section,2019-08-04T15:00:38Z,SpaghettiToaster,https://yt3.ggpht.com/ytc/AKedOLSE7Htzts56gP17ATtrP1EkvBYg5hVLddqNtA=s48-c-k-c0x00ffffff-no-rj,1,,,1,,
UgwHRrIiI_sfpNpMv754AaABAg.8vudE7oZua58yDEt5RRbfc,UgwHRrIiI_sfpNpMv754AaABAg,48Gxwmofaho,"Also, I think Disney/Pixar don't like using motion capture. They kind of make a point of only doing hand animation.",2019-08-04T14:43:53Z,ShyPoke,https://yt3.ggpht.com/ytc/AKedOLRNtTDGVp48bKx62-sETxpfaMEkQz2EkNq6kbiIhA=s48-c-k-c0x00ffffff-no-rj,,1,,,,
UgwHRrIiI_sfpNpMv754AaABAg.8vudE7oZua58vw9QmioF5o,UgwHRrIiI_sfpNpMv754AaABAg,48Gxwmofaho,"That makes a lot of sense, thanks!",2019-06-08T21:07:04Z,SpaghettiToaster,https://yt3.ggpht.com/ytc/AKedOLSE7Htzts56gP17ATtrP1EkvBYg5hVLddqNtA=s48-c-k-c0x00ffffff-no-rj,,,1,,,
UgwHRrIiI_sfpNpMv754AaABAg.8vudE7oZua58vw9056pkOm,UgwHRrIiI_sfpNpMv754AaABAg,48Gxwmofaho,Cartoon style doesn't mix well with realism.,2019-06-08T21:03:26Z,Anthony Tonev,https://yt3.ggpht.com/ytc/AKedOLRpwhWisp1J49PE6UiJSQkgSUd35NJstFSs_7D0IA=s48-c-k-c0x00ffffff-no-rj,,,,1,,
UgwBRosNZGdSi0cw6Wt4AaABAg,0,48Gxwmofaho,"Great, I learnt nothing. THANKS. Woulda been nice to learn about the program and techniques and shit but you know just a blurb about someones creative process and what a fucking marytr they are afterthefact is great. I'm sure its gonna be really useful, for sure.",2019-06-07T17:47:30Z,Cerbyo,https://yt3.ggpht.com/ytc/AKedOLT73J6_DsOrNy5VnPnH_TayMaeECAMuvxbTBS3k=s48-c-k-c0x00ffffff-no-rj,,,,1,,
UgwBRosNZGdSi0cw6Wt4AaABAg.8vtDn6emxLW9AP_rPyoaEu,UgwBRosNZGdSi0cw6Wt4AaABAg,48Gxwmofaho,"wow, you're very angry. tone it down a bit bud",2020-06-27T12:34:54Z,littlesnowflakepunk,https://yt3.ggpht.com/ytc/AKedOLSJHLVGaO8gcaWoCC2Bt1VxBPnvU-4gNYLRAndW=s48-c-k-c0x00ffffff-no-rj,,,1,,,
UgxCtaS6-pwuHU8ETkR4AaABAg,0,48Gxwmofaho,"Great movie, great work were done. I watched it few times and will watch again. You guys rock)",2019-06-01T21:17:29Z,Live Forever,https://yt3.ggpht.com/ytc/AKedOLQbI2G0DJA1Z_LYhOcDshYgTCe0PLvcZMjg61zLpA=s48-c-k-c0x00ffffff-no-rj,,,1,,,
UgzH5BiGbgF6aA6s7Cx4AaABAg,0,48Gxwmofaho,Absolutely loved Coco. Thank you for sharing these background insights : ) Great job!,2019-01-30T12:21:49Z,Ezgi Platin Atzel,https://yt3.ggpht.com/ytc/AKedOLRnt55ARXVVH3-Z1KYiiN8eEzQgBhPMwK-_wqjNyw=s48-c-k-c0x00ffffff-no-rj,,,1,,,
Ugxh5fcRwERVPEEohXh4AaABAg,0,48Gxwmofaho,Awesome!,2018-11-06T04:31:43Z,CaptainKleptan,https://yt3.ggpht.com/ytc/AKedOLRj9wQW2gZW2pyNA7HClRGtnFqjQcJQOGtFsg=s48-c-k-c0x00ffffff-no-rj,,,1,,,
Ugxk3KSNcR66eSoMgTd4AaABAg,0,48Gxwmofaho,What the name of the program?? :DDDD,2018-11-03T01:25:34Z,A ρ ø l ι η ά r ι ø ღ,https://yt3.ggpht.com/kAMDXORsxwASOkVzi2PN1H5NWPQp3cPq4OB6tseC2WzzLW8X746g6_-XXbHQkXXg9LkU3ud0okM=s48-c-k-c0x00ffffff-no-rj,1,,,,,
Ugxk3KSNcR66eSoMgTd4AaABAg.8nAHiF2Yejv8vNbLdVZK0V,Ugxk3KSNcR66eSoMgTd4AaABAg,48Gxwmofaho,"@Matrix29bear after effects is 2.5D, not 3D",2019-05-26T01:47:07Z,MysteryPancake,https://yt3.ggpht.com/ytc/AKedOLQJiOECRcI1CEKWD5hTuFnENrNPoYAltuJ7QaTP=s48-c-k-c0x00ffffff-no-rj,,1,,,,
Ugxk3KSNcR66eSoMgTd4AaABAg.8nAHiF2Yejv8nFz6fKq7mc,Ugxk3KSNcR66eSoMgTd4AaABAg,48Gxwmofaho,"Pixar do all their animation in a program called Presto. There are some videos of how it works, but the program itself is not publically available.",2018-11-05T06:29:43Z,Zoot101,https://yt3.ggpht.com/ytc/AKedOLTdRofZJM-5nc6zn-Phsh4RgypCqSa6IkAMyDju=s48-c-k-c0x00ffffff-no-rj,,1,,,,
Ugxk3KSNcR66eSoMgTd4AaABAg.8nAHiF2Yejv8nExVsQGKXm,Ugxk3KSNcR66eSoMgTd4AaABAg,48Gxwmofaho,@YOLOnline  TIL thanks.,2018-11-04T20:56:26Z,cbrpnk,https://yt3.ggpht.com/ytc/AKedOLTVjm6fsNAo21Put2pPCGyNNMnY_G_t3xhIUFWQ=s48-c-k-c0x00ffffff-no-rj,,,1,,,
Ugxk3KSNcR66eSoMgTd4AaABAg.8nAHiF2Yejv8nEt49DCYdc,Ugxk3KSNcR66eSoMgTd4AaABAg,48Gxwmofaho,"@cbrpnk renderman is only their rendering engine, the animating program is an inhouse software package not open to the public as far as I'm aware",2018-11-04T20:17:42Z,YOLOnline,https://yt3.ggpht.com/ytc/AKedOLQaVfVHQOUI_2CG-TymZbZxi6cc3P8seQL3g7d4=s48-c-k-c0x00ffffff-no-rj,,1,,,,
Ugw3N9YGysAmIQCjzyZ4AaABAg,0,48Gxwmofaho,Things like this are why I'm subscribed.,2018-10-30T15:45:01Z,KeybladeMaster Andy,https://yt3.ggpht.com/ytc/AKedOLSLcOeuTVNgagZIOPyI8hODfV4pDUa5ixB7RKf3FA=s48-c-k-c0x00ffffff-no-rj,,,1,,,
Ugw3N9YGysAmIQCjzyZ4AaABAg.8n1WtZIOd9K8n1mjs48yFu,Ugw3N9YGysAmIQCjzyZ4AaABAg,48Gxwmofaho,We'll be adding more content like this throughout the year!,2018-10-30T18:12:14Z,ACMSIGGRAPH,https://yt3.ggpht.com/ytc/AKedOLQ6r_FguvVaX8EG7_y_hl7acm9fd0Py3dNuu39A=s48-c-k-c0x00ffffff-no-rj,,,1,,,
